stimuli,category,correct_response,columna izquierda,columna derecha,grupo,stimuli_color
Padre,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Masculino,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Abuelo,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Esposo,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Hijo,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Tío,Masculino,i,Ciencias Exactas,Ciencias Sociales ,1,#008000
Filosofía,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Educación,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Arte,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Literatura,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Trabajo Social,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Historia,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Biología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Física,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Química,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Matemáticas,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Geología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Astronomía,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Ingeniería,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Niña,Femenino,i,Ciencias Sociales - Masculino,Ciencias Exactas - Femenino,2,#008000
Femenino,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Tía,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Hija,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Esposa,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Mujer,Femenino,i,Ciencias Sociales ,Ciencias Exactas,2,#008000
Madre,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Abuela,Femenino,i,Ciencias Sociales,Ciencias Exactas,2,#008000
Hombre,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Niño,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Padre,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Masculino,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Abuelo,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Esposo,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Hijo,Masculino,e,Ciencias Sociales ,Ciencias Exactas,2,#008000
Tío,Masculino,e,Ciencias Sociales,Ciencias Exactas,2,#008000
Filosofía,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Educación,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Arte,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Literatura,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Trabajo Social,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Historia,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Biología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Física,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Química,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Matemáticas,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Geología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Astronomía,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Ingeniería,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Niña,Femenino,i,Ciencias Exactas - Masculino,Ciencias Sociales - Femenino,3,#008000
Femenino,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Tía,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Hija,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Esposa,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Mujer,Femenino,i,Ciencias Exactas,Ciencias Sociales ,3,#008000
Madre,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Abuela,Femenino,i,Ciencias Exactas,Ciencias Sociales,3,#008000
Hombre,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Niño,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Padre,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Masculino,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Abuelo,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Esposo,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Hijo,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Tío,Masculino,e,Ciencias Exactas,Ciencias Sociales,3,#008000
Filosofía,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Educación,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Arte,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Literatura,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Trabajo Social,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Historia,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Biología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Física,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Química,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales ,3,#FFFFFF
Matemáticas,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Geología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Astronomía,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Ingeniería,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
